Model,Precision,Recall,F1 Score,PR-AUC,Stage
Random Forest,0.9573241061130334,0.9130913091309132,0.9346846846846848,0.975410979480224,Baseline
AdaBoost,0.9043887147335424,0.6347634763476347,0.7459599224305107,0.8386823606097975,Baseline
XGBoost,0.9291084854994628,0.9515951595159516,0.9402173913043478,0.9849362779516792,Baseline
Random Forest,0.8830472103004292,0.9053905390539054,0.8940793047256925,0.9473999411516362,Poisoned
AdaBoost,0.9156050955414012,0.6325632563256326,0.7482108002602472,0.7882186827387613,Poisoned
XGBoost,0.4954233409610984,0.9526952695269528,0.6518630033872789,0.948429733647267,Poisoned
Random Forest,0.8797872340425532,0.9097909790979097,0.8945375878853434,0.9541659237327943,Defended
AdaBoost,0.8804347826086957,0.6237623762376238,0.7301996136509981,0.7908826043005648,Defended
XGBoost,0.5225060827250608,0.944994499449945,0.672933803368586,0.9421840477977801,Defended
